,term,score_date,score_value
33749,a flu,2018-10-15,499.3072539143092
33984,a flu,2018-10-16,634.5757544217479
33985,a flu,2018-10-17,564.1693405290066
33986,a flu,2018-10-18,529.6083535174932
34338,a flu,2018-10-19,497.8844960456871
34456,a flu,2018-10-20,387.55390047804855
34457,a flu,2018-10-21,383.55833855731566
34458,a flu,2018-10-22,484.6510980117595
34459,a flu,2018-10-23,545.0240090249962
34460,a flu,2018-10-24,430.3313346499627
34461,a flu,2018-10-25,497.7719134905124
34462,a flu,2018-10-26,510.1063391753274
34463,a flu,2018-10-27,340.0926749524152
34464,a flu,2018-10-28,349.8857855571068
34465,a flu,2018-10-29,463.2193527434355
35636,a flu,2018-10-30,489.623938926984
35637,a flu,2018-10-31,422.0846986239401
35638,a flu,2018-11-01,495.51111800326
35639,a flu,2018-11-02,508.1538192652343
35640,a flu,2018-11-03,356.8917007675404
35641,a flu,2018-11-04,384.8140770484059
35642,a flu,2018-11-05,449.4743207531603
35643,a flu,2018-11-06,470.9855864700679
35644,a flu,2018-11-07,472.8188895670368
35645,a flu,2018-11-08,341.2128338520534
35646,a flu,2018-11-09,331.19293566727214
40408,a flu,2018-11-10,290.6145251221204
40409,a flu,2018-11-11,286.25617538084566
40410,a flu,2018-11-12,418.6351221267236
40411,a flu,2018-11-13,400.1725614693019
40412,a flu,2018-11-14,465.25549467304864
40413,a flu,2018-11-15,285.9318487296741
40414,a flu,2018-11-16,354.3998686689033
40415,a flu,2018-11-17,293.0880348100403
40416,a flu,2018-11-18,298.4318312640714
40417,a flu,2018-11-19,328.08670608717296
40418,a flu,2018-11-20,370.5941110437432
40419,a flu,2018-11-21,375.6611157275283
40420,a flu,2018-11-22,324.03852949586053
40421,a flu,2018-11-23,363.0631685501326
40422,a flu,2018-11-24,336.93128555610906
40423,a flu,2018-11-25,257.20794563009656
40424,a flu,2018-11-26,382.5107653043956
40425,a flu,2018-11-27,313.33835739130984
40426,a flu,2018-11-28,329.723784327122
40427,a flu,2018-11-29,300.0285889038635
40428,a flu,2018-11-30,301.2203059992782
42975,a flu,2018-12-01,305.33025351313063
45597,a flu,2018-12-02,246.3261394220536
45598,a flu,2018-12-03,356.93367345294246
45832,a flu,2018-12-04,375.1905603146964
45833,a flu,2018-12-05,238.87474421825704
45834,a flu,2018-12-06,435.2809084086896
45835,a flu,2018-12-07,269.2981868130541
46532,a flu,2018-12-08,199.4549922269097
46533,a flu,2018-12-09,321.9517011393807
46534,a flu,2018-12-10,346.2321615191897
46535,a flu,2018-12-11,323.5521102393253
46536,a flu,2018-12-12,241.28267669419745
46537,a flu,2018-12-13,345.09358173543046
47192,a flu,2018-12-14,204.10451487447983
47193,a flu,2018-12-15,212.93516387973884
47194,a flu,2018-12-16,290.97254099458127
47195,a flu,2018-12-17,228.07998786612345
47196,a flu,2018-12-18,279.9376812683114
47197,a flu,2018-12-19,371.9438510881643
47198,a flu,2018-12-20,309.9601538541399
47199,a flu,2018-12-21,374.4602266924583
47200,a flu,2018-12-22,212.08007640111703
47201,a flu,2018-12-23,146.88236418699222
47202,a flu,2018-12-24,272.62412403093504
47203,a flu,2018-12-25,199.11686237945747
47204,a flu,2018-12-26,313.04435916777044
47205,a flu,2018-12-27,328.09122443364885
47206,a flu,2018-12-28,409.3714607277236
47207,a flu,2018-12-29,306.6868417814296
47208,a flu,2018-12-30,347.00843888562133
47209,a flu,2018-12-31,286.2052092740443
49640,a flu,2019-01-01,361.00473334919
49641,a flu,2019-01-02,332.74207858919726
49642,a flu,2019-01-03,504.4511978096998
49643,a flu,2019-01-04,264.1389270713184
49644,a flu,2019-01-05,313.26260760020455
49645,a flu,2019-01-06,347.83211941690604
49646,a flu,2019-01-07,355.01286054594925
49647,a flu,2019-01-08,221.61363268390036
49648,a flu,2019-01-09,341.8757300427351
49649,a flu,2019-01-10,333.960147642986
49650,a flu,2019-01-11,354.6954664435004
49651,a flu,2019-01-12,235.68035181107925
49652,a flu,2019-01-13,278.63779777361054
49653,a flu,2019-01-14,362.29599810995455
49654,a flu,2019-01-15,392.3801998058259
49655,a flu,2019-01-16,381.0243446969613
49656,a flu,2019-01-17,438.0501682042523
49657,a flu,2019-01-18,348.27954846509255
49658,a flu,2019-01-19,274.92624355650827
